time_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw
72903,-1.26,-0.02,-0.05,0.03,-0.00,-0.07
72904,-1.26,-0.02,0.05,0.03,-0.00,-0.07
72905,-1.36,-0.02,-0.26,0.13,-0.00,0.04
72906,-1.16,-0.02,-0.05,0.03,-0.11,-0.07
72907,-1.16,-0.02,0.16,0.03,-0.11,-0.07
72908,-1.26,-0.02,-0.47,0.13,0.10,-0.07
72909,-1.16,-0.13,-0.05,0.03,-0.00,-0.17
72910,-1.16,-0.02,0.26,-0.18,-0.21,-0.17
72911,-1.26,0.19,-0.36,-0.08,-0.00,-0.17
72912,-1.26,-0.23,-0.16,0.03,-0.00,-0.07
72913,-1.26,0.08,0.16,0.03,-0.11,-0.07
72914,-1.16,0.08,-0.16,0.03,-0.21,0.04
72915,-1.26,-0.23,-0.16,0.03,-0.00,-0.07
72916,-1.36,-0.13,-0.05,-0.08,-0.00,-0.07
72917,-1.16,0.08,-0.16,0.03,-0.11,-0.07
72918,-1.16,-0.23,-0.16,0.03,-0.11,-0.07
72919,-1.36,-0.02,0.05,-0.08,-0.11,-0.17
72920,-1.05,0.08,-0.05,-0.08,-0.00,-0.07
72921,-1.36,-0.02,-0.26,0.13,-0.11,0.04
72922,-1.26,-0.13,0.26,0.03,-0.11,0.04
72923,-1.05,-0.02,-0.16,0.03,-0.11,-0.17
72924,-1.57,0.08,-0.16,0.03,-0.11,-0.07
72925,-1.36,-0.13,0.05,0.03,-0.11,0.04
72926,-0.95,-0.13,-0.16,0.03,-0.11,-0.07
72927,-1.47,-0.02,-0.16,0.03,-0.11,-0.07
72928,-1.36,-0.02,0.05,0.03,-0.00,0.04
72929,-0.95,-0.13,-0.16,0.03,-0.21,-0.07
72930,-1.47,-0.02,-0.26,-0.08,-0.11,-0.07
72931,-1.26,-0.02,0.05,0.13,-0.00,0.04
72932,-0.84,-0.02,-0.16,0.03,-0.21,0.04
72933,-1.68,-0.02,-0.26,-0.08,-0.11,-0.07
72934,-1.16,-0.23,0.05,-0.08,-0.00,0.04
72935,-1.16,-0.02,-0.05,-0.08,-0.11,-0.07
72936,-1.57,0.08,-0.26,0.03,-0.11,-0.07
72937,-1.26,-0.13,-0.05,0.03,-0.00,-0.17
72938,-0.95,-0.13,0.05,-0.08,-0.11,-0.17
