time_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw
9722,-1.36,-0.13,-0.05,0.13,0.10,0.04
9723,-1.26,-0.02,-0.05,-0.08,-0.11,-0.17
9724,-1.05,-0.02,-0.05,0.03,-0.11,-0.07
9725,-1.16,-0.13,-0.05,0.03,-0.00,-0.07
9726,-1.26,-0.02,-0.16,0.13,-0.00,0.04
9727,-1.26,-0.02,-0.05,-0.18,-0.11,-0.07
9728,-1.26,-0.02,-0.05,-0.08,-0.11,-0.07
9729,-1.36,-0.02,0.05,0.03,-0.11,-0.07
9730,-1.26,-0.13,-0.05,0.13,-0.11,-0.07
9731,-1.16,-0.02,-0.05,0.03,-0.21,-0.17
9732,-1.26,-0.13,-0.05,0.13,-0.00,0.04
9733,-1.26,-0.02,-0.05,-0.08,0.10,0.04
9734,-1.26,-0.02,-0.05,0.03,-0.00,-0.07
9735,-1.36,-0.02,-0.05,0.13,-0.00,-0.07
9736,-1.16,-0.02,-0.05,-0.08,-0.11,-0.17
9737,-1.26,-0.13,-0.05,0.03,-0.00,-0.07
9738,-1.16,0.08,-0.05,0.03,-0.21,-0.17
9739,-1.26,-0.13,-0.05,0.13,-0.00,-0.07
9740,-1.16,-0.02,-0.05,0.03,-0.11,-0.17
9741,-1.36,-0.02,-0.05,0.13,-0.00,-0.07
9742,-1.26,-0.02,-0.05,0.03,-0.21,0.04
9743,-1.16,-0.02,0.05,0.03,-0.11,-0.07
9744,-1.16,-0.02,-0.16,-0.08,-0.00,-0.07
9745,-1.26,-0.02,-0.05,0.03,-0.11,-0.07
9746,-1.26,-0.02,-0.05,0.13,-0.11,0.04
9747,-1.26,-0.13,-0.05,0.03,-0.00,-0.17
9748,-1.26,-0.02,-0.16,-0.08,-0.00,-0.17
9749,-1.05,-0.02,0.05,-0.18,-0.11,-0.07
9750,-1.16,-0.02,-0.05,-0.08,-0.00,-0.07
9751,-1.16,-0.02,-0.05,0.03,-0.11,-0.07
9752,-1.16,-0.02,-0.05,0.03,-0.11,0.04
