time_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw
11536,-1.26,0.08,-0.05,0.03,-0.21,-0.17
11537,-1.26,-0.02,-0.05,-0.08,-0.00,-0.07
11538,-1.16,-0.13,-0.05,-0.08,-0.00,0.04
11539,-1.26,-0.02,-0.05,0.03,-0.11,-0.07
11540,-1.16,-0.02,-0.05,-0.08,-0.21,-0.07
11541,-1.26,-0.02,-0.05,-0.08,-0.00,-0.17
11542,-1.16,-0.23,-0.16,-0.08,-0.11,0.04
11543,-1.16,-0.13,-0.05,0.03,-0.21,-0.17
11544,-1.36,-0.13,-0.16,0.13,-0.11,-0.07
11545,-1.26,-0.13,-0.16,-0.08,-0.21,-0.28
11546,-1.26,-0.13,-0.05,-0.08,-0.11,-0.17
11547,-1.16,-0.13,-0.05,0.03,-0.21,-0.17
11548,-1.26,-0.02,-0.05,0.03,-0.11,-0.17
11549,-1.26,-0.02,-0.05,-0.08,-0.21,-0.17
11550,-1.26,-0.13,-0.05,0.03,-0.11,-0.07
11551,-1.36,-0.13,-0.05,-0.08,-0.21,-0.17
11552,-1.36,-0.13,-0.05,-0.08,-0.21,-0.07
11553,-1.26,-0.13,-0.05,-0.08,-0.11,-0.07
11554,-1.16,-0.13,-0.05,-0.08,-0.11,-0.07
11555,-1.26,-0.13,-0.05,-0.08,-0.11,-0.17
11556,-1.26,-0.13,-0.16,0.03,-0.11,-0.17
11557,-1.36,-0.13,-0.05,0.03,-0.11,-0.07
11558,-1.16,-0.13,-0.16,-0.08,-0.11,-0.17
11559,-1.26,-0.02,-0.05,-0.08,-0.11,-0.07
11560,-1.26,-0.13,-0.05,-0.08,-0.11,-0.28
11561,-1.36,-0.02,-0.16,-0.18,-0.21,-0.07
11562,-1.26,-0.13,-0.05,-0.08,-0.11,-0.17
11563,-1.26,-0.02,-0.05,-0.08,-0.21,-0.07
11564,-1.26,-0.13,-0.05,0.03,-0.00,-0.07
11565,-1.26,-0.13,-0.05,0.03,-0.11,-0.17
11566,-1.36,-0.13,-0.16,-0.08,-0.00,-0.17
11567,-1.26,-0.13,-0.05,-0.08,-0.11,-0.17
11568,-1.26,-0.02,-0.05,0.03,-0.11,-0.07
11569,-1.26,-0.02,-0.05,0.03,-0.11,-0.07
11570,-1.36,-0.02,-0.05,0.13,-0.21,-0.17
11571,-1.36,-0.02,-0.05,-0.08,-0.11,-0.17
11572,-1.26,-0.13,-0.05,0.03,-0.21,-0.07
11573,-1.16,-0.13,-0.05,-0.08,-0.11,-0.07
11574,-1.36,-0.13,-0.16,-0.08,-0.11,-0.17
11575,-1.26,-0.13,-0.05,-0.08,-0.11,-0.17
11576,-1.16,-0.02,-0.05,-0.08,-0.21,-0.17
11577,-1.36,-0.13,-0.05,-0.08,-0.11,-0.17
11578,-1.26,-0.02,-0.05,0.03,-0.31,-0.17
11579,-1.16,-0.13,-0.05,-0.08,-0.11,-0.07
11580,-1.26,-0.02,-0.05,-0.08,-0.11,-0.07
11581,-1.26,-0.13,-0.16,0.03,-0.11,-0.17
11582,-1.26,-0.02,-0.05,-0.08,-0.21,0.04
11583,-1.26,-0.02,-0.05,-0.08,-0.21,-0.17
11584,-1.36,-0.13,-0.05,-0.18,-0.11,-0.07
11585,-1.26,-0.13,-0.16,0.03,-0.11,-0.07
11586,-1.26,-0.02,-0.05,0.03,-0.11,-0.17
11587,-1.26,-0.02,-0.16,-0.18,-0.11,-0.17
11588,-1.36,-0.13,-0.16,-0.08,-0.21,-0.07
11589,-1.36,-0.13,-0.05,-0.08,-0.00,-0.17
11590,-1.36,-0.13,-0.05,-0.08,-0.11,-0.07
11591,-1.36,-0.02,-0.05,-0.08,-0.11,-0.07
11592,-1.26,-0.02,-0.05,-0.08,-0.00,-0.28
11593,-1.36,-0.13,-0.16,-0.08,-0.00,-0.17
