xtime[s],xdist    [m],PM_commandedTorque[Nm],PM_dcBusCurrent[A],PM_dcBusVolt[V],PM_motorSpeed[rpm],PM_torqueFeedback[Nm]
0,0,33.4,12.9,331.2,1219,34
0.1,0,29.9,11.7,332,1243,30.4
0.2,0,19,7.3,333.7,1245,18.7
0.3,0,12.2,4.3,334.9,1237,11.4
0.4,0,9.5,3.3,335.9,1223,9.6
0.5,0,9,3.4,336.9,1221,9.4
0.6,0,12,4.7,336.4,1212,12.6
0.7,0,13,5,336.7,1209,13.4
0.8,0,18.2,7,334.4,1207,18.9
0.9,0,19.9,7.6,333.6,1207,20.1
1,0,19.9,7.4,335.2,1208,19.9
1.1,0,25.3,9.6,333.9,1218,23.5
1.2,0,27,10.4,332.9,1223,26.3
1.3,0,28.5,11,332.1,1235,28.5
1.4,0,27.5,10.7,332.7,1246,27.7
1.5,0,34.5,14.2,332,1277,32.4
1.6,0,36.1,15.6,331.5,1347,35.1
1.7,0,38.2,16.2,331.6,1334,36
1.8,0,31.4,13,332.1,1309,30.8
1.9,0,38.9,16.7,330.7,1331,38.5
2,0,39.6,18,329.4,1423,38.5
2.1,0,47.3,22.8,328.4,1479,46.9
2.2,0,58.3,27.7,327.1,1437,57.4
2.3,0,73.2,37.6,323.6,1514,71.3
2.4,0,83,45.7,320.2,1612,79.7
2.5,0,83.4,46.2,319.6,1627,79.9
2.6,0,98.9,57.2,315.7,1677,94.2
2.7,0,138.9,92.3,305.5,1833,137.6
2.8,0,149.9,109.4,297.4,2002,149.4
2.9,0,149.9,116,293.1,2122,157.5
3,0,149.9,109.6,296.4,2051,144.4
3.1,0,149.9,112.9,295.2,2114,145
3.2,0,149.9,120.2,291.4,2213,155.3
3.3,0,149.9,125.9,288.5,2312,149.1
3.4,0,149.9,133.3,284.9,2434,150.7
3.5,0,149.9,138.8,284.4,2536,153.7
3.6,0,149.9,143.8,284,2621,158.1
3.7,0,149.9,150.3,280.6,2726,146.5
3.8,0,149.9,157.3,278.6,2824,140.1
3.9,0,149.9,163.1,275.6,2912,141.9
4,0,149.9,170.7,271.5,3015,147.4
4.1,0,149.9,180.1,266.2,3112,147.8
4.2,0,149.9,194.4,262.8,3206,147
4.3,0,149.9,222.1,256.2,3322,149.3
4.4,0,88.3,114.6,288.5,3246,88.6
4.5,0,130.5,154.5,272.1,3499,110
4.6,0,55,72.4,302.3,3367,54.9
4.7,0,6,11.3,325.7,3239,9.5
4.8,0,0,0.9,330.1,3383,0.2
4.9,0,0,0.1,331,3255,-0.1
5,0,0,0,333,3155,-0.2
5.1,0,0,-0.2,332.5,3047,-2
5.2,0,0,0,332.8,2964,-0.5
5.3,0,0,0,332.8,2857,-0.2
5.4,0,0,-0.2,332.9,2727,-2.1
5.5,0,0,0,332.8,2618,-0.6
5.6,0,0,-0.2,334,2520,-1
5.7,0,0,0.1,334.4,2423,0.2
5.8,0,0,0,334.3,2334,2.1
5.9,0,0,-0.2,332.9,2251,-0.1
6,0,0,0,333.6,2178,0.2
6.1,0,0,0.1,333.7,2161,1.9
6.2,0,0,0.1,333.6,2122,2.3
6.3,0,0,0,334,2070,0.7
6.4,0,2.2,1.7,334.1,2039,2.6
6.5,0,8.3,5.5,332.4,2064,7.7
6.6,0,12.3,8,331,1993,13.4
6.7,0,3.1,1.9,334,1884,3.3
6.8,0,1.4,0.9,335,1953,-0.2
6.9,0,0.5,0.3,334.8,1880,-0.8
7,0,0,0,334.5,1863,0.7
7.1,0,0,0.2,335.2,1822,-0.3
7.2,0,0,0.1,334.2,1768,0
7.3,0,0,0,334.3,1718,0
7.4,0,0,0.2,334.2,1675,-0.5
7.5,0,0,0,335.2,1608,-0.1
7.6,0,0,-0.2,334.3,1550,-1.2
7.7,0,0,0.1,334.5,1504,0.1
7.8,0,3,1.5,334.2,1480,2.6
7.9,0,10.8,5.2,333.2,1432,9.7
8,0,13.8,6.4,332.8,1400,12
8.1,0,37.6,18.6,327.3,1469,38.7
8.2,0,57.2,29.1,322.6,1520,58.6
8.3,0,70.9,36.5,320.7,1515,68.1
8.4,0,95.2,52.4,314.6,1551,91.7
8.5,0,105.8,59.9,313.6,1607,99.4
8.6,0,139.6,88.4,302.2,1724,138.9
8.7,0,149.9,101.4,296.2,1849,149.8
8.8,0,149.9,112.4,291.3,2068,163.1
8.9,0,149.9,106.1,291.8,3686,96.1
9,0,149.9,25.4,322.2,5228,16.4
9.1,0,149.9,0.2,331.2,5397,-1.2
9.2,0,149.9,0,331.2,5231,-0.2
9.3,0,149.9,0,330.7,5091,-0.7
9.4,0,149.9,0,331,4956,-0.6
9.5,0,149.9,0,330.4,4824,0.2
9.6,0,149.9,0,331,4695,-0.4
9.7,0,149.9,0,331.2,4567,-0.8
9.8,0,149.9,0,298.2,4439,0.9
9.9,0,149.9,0,273.7,4315,0.3
10,0,149.9,0,263.3,4189,0.4
10.1,0,149.9,0,255.2,4066,-0.4
10.2,0,149.9,0,245.3,3905,-0.1
10.3,0,149.9,0,228.1,3637,-0.3
10.4,0,149.9,0,202.5,3230,0.5
10.5,0,149.9,0,169,2048,0.2
10.6,0,149.9,0,138.9,196,-0.2
10.7,0,149.9,0,113.9,65,-0.7
10.8,0,149.9,0,93.1,17,-0.3
10.9,0,149.9,0,76.2,15,-0.3
11,0,149.9,0,62.1,-57,0.6
11.1,0,149.9,0,50.8,27,0.1
11.2,0,149.9,0,48.3,63,0
11.3,0,149.9,0,41.6,-13,0
